,Seconds,Q_flow Refrigeration [kW]_model,T_sup RefrigerationT [°C]_model,T_ret RefrigerationT [°C]_model
2037,7333200,0.39355708311646215,68.07959752736312,27.375710402979553
2038,7336800,0.31424780032989114,71.63214241765986,27.00650849047708
2039,7340400,0.2944864623779209,73.55430189708261,28.834354190819827
2040,7344000,0.3488410159151093,70.02533063605917,28.56471669092114
2041,7347600,0.3780861030188894,68.21387930570405,30.14037214051322
2042,7351200,0.33726097103917263,71.64351239911085,30.768590557609368
2043,7354800,0.33419390876249316,66.81883626678986,32.22800552064689
2044,7358400,0.37686640533316174,65.05247881949046,25.90101247582886
2045,7362000,0.4855952274121429,70.48674524443764,29.98915672396429
2046,7365600,0.5230190708810553,69.03375981745977,28.61111030424063
2047,7369200,0.5403945384361746,71.87235396155668,30.76216339344274
2048,7372800,0.6978688821273141,68.91836266254788,29.918608357437165
2049,7376400,0.521036082816411,68.14864342068434,29.958737753691402
2050,7380000,0.55242888245379,71.32385762696855,31.41119640891446
2051,7383600,0.6875001040842958,66.83216023567533,30.021378485536868
2052,7387200,0.8114696799978492,68.51730771804085,29.444272548991353
2053,7390800,0.7538712583951434,67.66593500943003,29.59105319012194
2054,7394400,0.710748494938131,70.75472742432073,30.768021342508156
2055,7398000,0.6893110252426605,72.84327158802517,29.846047507479007
2056,7401600,0.6835499926331292,68.07670985361467,29.49884626212278
2057,7405200,0.4914817060866577,70.08795567314678,33.68785863511467
2058,7408800,0.6891316990438627,72.0978871639817,29.68896305241143
2059,7412400,0.8047574309149315,66.01698677658199,30.171401127815958
2060,7416000,0.6263247538465107,68.98713313674622,29.96528605463913
2061,7419600,0.41228476672143644,68.27130850950094,29.359526265146425
2062,7423200,0.283964117940093,65.58530968156954,29.10005158355281
2063,7426800,0.3564380485195867,72.6286991145911,28.69982144700285
2064,7430400,0.38752438561699537,69.59902904617202,27.6155462761074
2065,7434000,0.3607218484990657,69.83401288614863,32.08799523394417
2066,7437600,0.2816621729989537,71.25213468720615,31.74176189266391
2067,7441200,0.3875758867541858,66.20737553429292,29.409015522439937
2068,7444800,0.5752491258632487,68.33470391799877,25.970366912303955
2069,7448400,0.5824943590682189,70.38117491341075,29.562825515582492
2070,7452000,0.6274923743550295,73.05036501555026,32.36150838456715
2071,7455600,0.6752974014312361,73.36393006036263,30.766022709918722
2072,7459200,0.663662769921765,69.14581383708878,30.59172022563381
2073,7462800,0.6074114642969471,71.83473127126952,30.663379205979815
2074,7466400,0.6636243018478021,70.82828709971903,29.520512508238685
2075,7470000,0.7082873686857509,69.54053245661385,29.152138239376704
2076,7473600,0.7726995319203107,67.84158495834947,33.95868428948257
2077,7477200,0.6586932589325375,70.33902600939308,29.577238932060194
2078,7480800,0.6497232563313863,68.7676184819354,30.111646746577836
2079,7484400,0.6161467033555317,67.71866466831136,29.661267435093734
2080,7488000,0.5580404426534348,65.9655447912835,28.4842847578334
2081,7491600,0.622548829172617,68.29333403124042,31.21065318957736
2082,7495200,0.7038961266982635,71.64842786644364,27.848134733385592
2083,7498800,0.5904090388074681,65.41490882868504,31.294184769513212
2084,7502400,0.5147023068931124,66.45532225086727,28.060665647216933
2085,7506000,0.3793555172782024,70.92963127013584,29.301997408491587
2086,7509600,0.3727799368604535,69.72752801491383,28.48151202985776
2087,7513200,0.37388850236024096,72.95454843797594,28.857147666250622
2088,7516800,0.34326341948407696,64.52850474022516,25.844479823282956
2089,7520400,0.32486219803062893,68.53816063073904,28.378947150719736
2090,7524000,0.3189587642154473,65.54821182293236,31.264508679405996
2091,7527600,0.33875137517412374,66.55098629963035,26.612288157611594
2092,7531200,0.3693808841511404,63.6798397636222,26.916498179586775
2093,7534800,0.35676991021422677,67.4523471310077,27.31474260914351
2094,7538400,0.4429731250466634,72.85446738652468,28.88167663099041
2095,7542000,0.5623058318545968,67.5340373003471,29.219317620073813
2096,7545600,0.5431107789607524,64.10994961388324,27.438103115455572
2097,7549200,0.5944769904290587,69.5124801535221,29.242848596598744
2098,7552800,0.5614283788074673,65.840513624081,28.355288551670608
2099,7556400,0.6281042159905419,65.81466509641335,29.229190203150743
2100,7560000,0.6891781363041654,65.2239347186975,28.607353209102232
2101,7563600,0.63069047208209,64.06309745673971,27.89579646317644
2102,7567200,0.5525993342097724,62.8881315458561,26.343675534087563
2103,7570800,0.5765136957728767,66.19701038730331,27.856152805831073
2104,7574400,0.5702526265726358,70.32529475746365,27.45921867367528
2105,7578000,0.5027811560873836,70.72461416116519,31.45062084170139
2106,7581600,0.6405432316724726,68.7837832537052,32.51324245369302
2107,7585200,0.6808902549741527,70.27428715265188,28.32232969221634
2108,7588800,0.5883018930891132,63.10033042528921,26.429604763383814
2109,7592400,0.35340878906187817,62.31375778791653,24.500362848793305
2110,7596000,0.29890641122857736,67.29864358328055,28.14786042768061
2111,7599600,0.32736046892878357,68.29697068773635,26.223274858253994
2112,7603200,0.25502295010914594,64.4801244196888,30.06613928018579
2113,7606800,0.27326273406136276,68.67733088077586,31.013531221370627
2114,7610400,0.2598704053101248,66.47009044556208,31.39431848894432
2115,7614000,0.3141042513835468,64.4758966420062,30.191530907859867
2116,7617600,0.3441990459402485,66.91372287475983,27.162975467151625
2117,7621200,0.37656772140941497,65.18329425576553,27.274886395106435
2118,7624800,0.36706757314400107,67.50004991160003,31.736832752207423
2119,7628400,0.4751353449146709,65.79626404690897,31.263870395537605
2120,7632000,0.6041923066829554,68.76114377854306,28.406641347829172
2121,7635600,0.5426573482287584,69.82769864577739,31.53443590808135
2122,7639200,0.4850630301498524,65.88815323237108,28.426669322315103
2123,7642800,0.6037840646505976,65.20360233874041,30.833602643697677
2124,7646400,0.639525746710659,67.20485765012911,29.910489441048565
2125,7650000,0.545073683118221,66.89512724997608,29.486519870754208
2126,7653600,0.5824647071404015,65.01248662140091,29.49709441696653
2127,7657200,0.5313750449248159,66.17255785512693,28.233237044505852
2128,7660800,0.54370518101066,67.35951307955236,27.328549999167798
2129,7664400,0.547704436515219,71.24155656319304,29.77572555546717
2130,7668000,0.6243515865764723,70.87062856262614,34.22474540848521
2131,7671600,0.7339438505598279,65.46766735954942,32.9713119850452
2132,7675200,0.4889036086141927,64.71047765302555,30.02048755789281
2133,7678800,0.28596526206755485,63.86870426282045,28.746840878672497
2134,7682400,0.381350905653865,69.51585031607377,26.95230898524306
2135,7686000,0.27438114780698963,63.555597202770976,29.92893652554887
2136,7689600,0.3926509820175302,64.80668301839897,29.366385580742733
2137,7693200,0.3185705747737878,67.68323464279405,29.31115145153065
2138,7696800,0.3120212208685591,64.67513129275278,31.10111133131868
2139,7700400,0.40936819743812863,65.11930536212651,27.437100910339353
2140,7704000,0.6577539606635522,67.76337602561352,28.04799909795949
2141,7707600,0.6538537229703764,69.29031184500211,28.14392790533567
2142,7711200,0.6798884273795223,72.06533260388186,29.44996342872889
2143,7714800,0.688033370606286,66.47978104465518,31.227638378397195
