,Seconds,Q_flow Laundry [kW]_model,T_sup-Laundry[°C]_model,T_ret-Laundry[°C]_model
494,1778400,0.3756477934898384,28.4,10
495,1782000,0.35899230844103974,28.4,10
496,1785600,0.3583670882217754,28.4,10
497,1789200,0.3560364186592801,28.4,10
498,1792800,0.3618263522140638,28.4,10
499,1796400,0.37254548590366154,28.4,10
500,1800000,0.3079950633197178,28.4,10
501,1803600,0.2516632437174978,28.4,10
502,1807200,0.10952931893135642,28.4,10
503,1810800,0.02487468311732907,28.4,10
504,1814400,0.006842515859724034,28.4,10
505,1818000,0.0,28.4,10
506,1821600,0.0,28.4,10
507,1825200,0.005457053177407316,28.4,10
508,1828800,0.007838422990566373,28.4,10
509,1832400,0.0167547868518659,28.4,10
510,1836000,0.09821377913717615,28.4,10
511,1839600,0.2509560715103757,28.4,10
512,1843200,0.37639983800103066,28.4,10
513,1846800,0.3685643901147111,28.4,10
514,1850400,0.4114387014665394,28.4,10
515,1854000,0.39910088955244344,28.4,10
516,1857600,0.41772007978337433,28.4,10
517,1861200,0.43186721148626733,28.4,10
518,1864800,0.39140701783069837,28.4,10
519,1868400,0.40288921160997754,28.4,10
520,1872000,0.44239353173736484,28.4,10
521,1875600,0.3632882101333878,28.4,10
522,1879200,0.3765026426534647,28.4,10
523,1882800,0.36918445095954583,28.4,10
524,1886400,0.3573560906695389,28.4,10
525,1890000,0.2606358081366913,28.4,10
526,1893600,0.0986042790265449,28.4,10
527,1897200,0.023153793342024064,28.4,10
528,1900800,0.01172111411571775,28.4,10
529,1904400,0.0,28.4,10
530,1908000,0.0,28.4,10
531,1911600,0.02678986276072133,28.4,10
532,1915200,0.0,28.4,10
533,1918800,0.0,28.4,10
534,1922400,0.14042637168887057,28.4,10
535,1926000,0.33325153961881027,28.4,10
536,1929600,0.44300118326309346,28.4,10
537,1933200,0.4382185431193367,28.4,10
538,1936800,0.48878249073868163,28.4,10
539,1940400,0.4527957280269872,28.4,10
540,1944000,0.4785179337642831,28.4,10
541,1947600,0.44449099826631183,28.4,10
542,1951200,0.4489249183059652,28.4,10
543,1954800,0.4805367507416751,28.4,10
544,1958400,0.4647345826840889,28.4,10
545,1962000,0.46488257692135637,28.4,10
546,1965600,0.45617865283084275,28.4,10
547,1969200,0.49213627905626856,28.4,10
